# case: b7
# subcase: b
# results provider: Ennes Sarradj, BTU
# method: CleanSC
# method parameters: damp=0.6, iterations stop automatically if dirty map power grows over more than three iterations
# steering vectors: plain, true level
# grid: x_min=-0.5, x_max=0.5, y_min=-0.5, y_max=0.5, z=0.75, resolution=0.025
# source power determination: spatial integration over a circular sector (R=0.05) centered at nominal source position
#
# freq/Hz,source 0/Pa^2,source 1/Pa^2,source 2/Pa^2,source 3/Pa^2
1.584893192461114040e+03 2.328677475452423096e-02 5.626543541438877583e-03 1.413263220456428826e-03 3.412352562008891255e-04
1.995262314968880901e+03 2.986201527528464794e-02 7.472783327102661133e-03 1.815802243072539568e-03 4.765917074109893292e-04
2.511886431509582053e+03 3.946559410542249680e-02 9.723014954943209887e-03 2.474630120559595525e-03 5.922103882767260075e-04
3.162277660168382681e+03 4.716562246903777122e-02 1.160198368597775698e-02 2.885766778490506113e-03 6.826972239650785923e-04
3.981071705534977355e+03 6.421976629644632339e-02 1.610685698688030243e-02 3.849630302283912897e-03 9.395515771757345647e-04
5.011872336272729626e+03 7.773169758729636669e-02 1.880917919334024191e-02 4.736995644634589553e-03 1.176637353637488559e-03
6.309573444801942969e+03 9.757731668651103973e-02 2.362559805624186993e-02 5.802928702905774117e-03 1.452000877179671079e-03
7.943282347242829928e+03 1.252248410601168871e-01 3.034936601761728525e-02 7.345998659729957581e-03 1.787321260053431615e-03
1.000000000000002001e+04 1.545957925263792276e-01 3.740910172928124666e-02 9.404847543919458985e-03 2.184451062930747867e-03
1.258925411794171305e+04 1.922999685630202293e-01 4.757186555070802569e-02 1.134016319701913744e-02 2.852363471902208403e-03
1.584893192461117360e+04 2.438786737620830536e-01 5.927679827436804771e-02 1.458771596662700176e-02 3.476044676062883809e-03
1.995262314968882856e+04 3.077324323821812868e-01 7.637341489316895604e-02 1.800424068642314523e-02 4.324444926169235259e-03
